SD,FIPS,COUNTY
1,13121,FULTON
2,13121,FULTON
3,13121,FULTON
4,13121,FULTON
5,13121,FULTON
6,13121,FULTON
8,13121,FULTON
9,13121,FULTON
7,13121,FULTON
11,13121,FULTON
12,13121,FULTON
10,13121,FULTON
41,13089,DEKALB
44,13089,DEKALB
43,13089,DEKALB
46,13089,DEKALB
45,13089,DEKALB
47,13089,DEKALB
48,13089,DEKALB
49,13089,DEKALB
31,13067,COBB
33,13067,COBB
34,13067,COBB
32,13067,COBB
35,13067,COBB
36,13067,COBB
74,13135,GWINNETT
75,13135,GWINNETT
76,13135,GWINNETT
72,13135,GWINNETT
71,13135,GWINNETT
73,13135,GWINNETT
92,13247,ROCKDALE
91,13247,ROCKDALE
81,13151,HENRY
82,13151,HENRY
83,13151,HENRY
21,13063,CLAYTON
23,13063,CLAYTON
22,13063,CLAYTON
24,13063,CLAYTON
61,13113,FAYETTE
62,13113,FAYETTE
51,13097,DOUGLAS
52,13097,DOUGLAS
15,13057,CHEROKEE
16,13057,CHEROKEE
17,13057,CHEROKEE
18,13057,CHEROKEE
132,13077,COWETA
131,13077,COWETA
133,13077,COWETA
134,13077,COWETA
141,13117,FORSYTH
142,13117,FORSYTH
143,13117,FORSYTH
172,13223,PAULDING
171,13223,PAULDING
173,13223,PAULDING
112,13015,BARTOW
111,13015,BARTOW
113,13015,BARTOW
114,13015,BARTOW
121,13045,CARROLL
122,13045,CARROLL
124,13045,CARROLL
123,13045,CARROLL
181,13255,SPALDING
182,13255,SPALDING
163,13217,NEWTON
164,13217,NEWTON
191,13297,WALTON
192,13297,WALTON
101,13013,BARROW
102,13013,BARROW
151,13139,HALL
152,13139,HALL
153,13139,HALL
201,13085,DAWSON
