person_type,per,orig_purpose,quantity
ALL,1,EATOUT,204
ALL,1,ESCORT,1510
ALL,1,HOME,6154898
ALL,1,OTHER DISCRETIONARY,684
ALL,1,OTHER MAINTENANCE,2042
ALL,1,SCHOOL,927
ALL,1,SHOPPING,984
ALL,1,SOCIAL,286
ALL,1,UNIVERSITY,314
ALL,1,WORK,3776
ALL,1,WORK SUB-TOUR,37
ALL,2,EATOUT,564
ALL,2,ESCORT,3282
ALL,2,HOME,6145318
ALL,2,OTHER DISCRETIONARY,1327
ALL,2,OTHER MAINTENANCE,4202
ALL,2,SCHOOL,1469
ALL,2,SHOPPING,2176
ALL,2,SOCIAL,680
ALL,2,UNIVERSITY,601
ALL,2,WORK,10123
ALL,2,WORK SUB-TOUR,131
ALL,3,EATOUT,925
ALL,3,ESCORT,5135
ALL,3,HOME,6134339
ALL,3,OTHER DISCRETIONARY,2440
ALL,3,OTHER MAINTENANCE,6279
ALL,3,SCHOOL,1837
ALL,3,SHOPPING,3230
ALL,3,SOCIAL,1137
ALL,3,UNIVERSITY,855
ALL,3,WORK,21198
ALL,3,WORK SUB-TOUR,276
ALL,4,EATOUT,4112
ALL,4,ESCORT,7869
ALL,4,HOME,6118999
ALL,4,OTHER DISCRETIONARY,4668
ALL,4,OTHER MAINTENANCE,10000
ALL,4,SCHOOL,2084
ALL,4,SHOPPING,4462
ALL,4,SOCIAL,1889
ALL,4,UNIVERSITY,1263
ALL,4,WORK,41289
ALL,4,WORK SUB-TOUR,429
ALL,5,EATOUT,7006
ALL,5,ESCORT,10797
ALL,5,HOME,6091480
ALL,5,OTHER DISCRETIONARY,15297
ALL,5,OTHER MAINTENANCE,15125
ALL,5,SCHOOL,2210
ALL,5,SHOPPING,5626
ALL,5,SOCIAL,2844
ALL,5,UNIVERSITY,1989
ALL,5,WORK,85580
ALL,5,WORK SUB-TOUR,668
ALL,6,EATOUT,9763
ALL,6,ESCORT,17061
ALL,6,HOME,6033539
ALL,6,OTHER DISCRETIONARY,24275
ALL,6,OTHER MAINTENANCE,22603
ALL,6,SCHOOL,2306
ALL,6,SHOPPING,7880
ALL,6,SOCIAL,3980
ALL,6,UNIVERSITY,3126
ALL,6,WORK,171925
ALL,6,WORK SUB-TOUR,950
ALL,7,EATOUT,11472
ALL,7,ESCORT,31784
ALL,7,HOME,5935566
ALL,7,OTHER DISCRETIONARY,32654
ALL,7,OTHER MAINTENANCE,34638
ALL,7,SCHOOL,28021
ALL,7,SHOPPING,12310
ALL,7,SOCIAL,5642
ALL,7,UNIVERSITY,5528
ALL,7,WORK,313398
ALL,7,WORK SUB-TOUR,1229
ALL,8,EATOUT,16063
ALL,8,ESCORT,69670
ALL,8,HOME,5762230
ALL,8,OTHER DISCRETIONARY,43031
ALL,8,OTHER MAINTENANCE,55162
ALL,8,SCHOOL,156168
ALL,8,SHOPPING,21337
ALL,8,SOCIAL,9236
ALL,8,UNIVERSITY,10398
ALL,8,WORK,537935
ALL,8,WORK SUB-TOUR,1724
ALL,9,EATOUT,23474
ALL,9,ESCORT,160923
ALL,9,HOME,5386942
ALL,9,OTHER DISCRETIONARY,55229
ALL,9,OTHER MAINTENANCE,88702
ALL,9,SCHOOL,436946
ALL,9,SHOPPING,41396
ALL,9,SOCIAL,17688
ALL,9,UNIVERSITY,23452
ALL,9,WORK,839454
ALL,9,WORK SUB-TOUR,2549
ALL,10,EATOUT,34911
ALL,10,ESCORT,282170
ALL,10,HOME,4708979
ALL,10,OTHER DISCRETIONARY,70730
ALL,10,OTHER MAINTENANCE,134842
ALL,10,SCHOOL,759470
ALL,10,SHOPPING,70327
ALL,10,SOCIAL,28665
ALL,10,UNIVERSITY,31822
ALL,10,WORK,1083812
ALL,10,WORK SUB-TOUR,3759
ALL,11,EATOUT,39955
ALL,11,ESCORT,274855
