"ORIG_FIPS","DEST_FIPS","ALLALL","WRKALL","NWKALL","ALLSOV","ALLHOV","ALLTRN","ALLWALK","ALLBIKE"
13013,13015,2,2,0,1,1,0,0,0
13013,13057,122,68,54,68,54,0,0,0
13013,13063,100,52,48,55,45,0,0,0
13013,13067,627,430,197,444,181,2,0,0
13013,13077,2,1,1,2,0,0,0,0
13013,13085,56,27,29,27,29,0,0,0
13013,13089,3835,2350,1485,2468,1355,12,0,0
13013,13097,12,5,7,5,7,0,0,0
13013,13113,3,1,2,3,0,0,0,0
13013,13117,1451,903,548,891,560,0,0,0
13013,13121,4157,2657,1500,2601,1495,61,0,0
13013,13135,51978,18354,33624,23275,28614,8,26,55
13013,13139,9190,3432,5758,4311,4870,2,0,7
13013,13151,142,69,73,76,66,0,0,0
13013,13217,799,471,328,474,325,0,0,0
13013,13223,10,3,7,5,5,0,0,0
13013,13247,769,493,276,467,302,0,0,0
13013,13255,1,0,1,0,1,0,0,0
13013,13297,12184,3895,8289,5146,7026,0,0,12
13015,13013,5,1,4,0,5,0,0,0
13015,13045,380,223,157,239,141,0,0,0
13015,13057,16171,6360,9811,7948,8207,0,9,7
13015,13063,80,48,32,53,26,1,0,0
13015,13067,32941,14127,18814,17081,15743,14,36,67
13015,13077,16,10,6,10,6,0,0,0
13015,13085,46,27,19,33,13,0,0,0
13015,13089,1408,727,681,758,645,5,0,0
13015,13097,827,477,350,496,331,0,0,0
13015,13113,15,8,7,11,4,0,0,0
13015,13117,846,465,381,502,344,0,0,0
13015,13121,5947,3298,2649,3402,2516,29,0,0
13015,13135,494,241,253,262,231,1,0,0
13015,13139,54,17,37,19,35,0,0,0
13015,13151,19,3,16,6,13,0,0,0
13015,13223,10078,3986,6092,4843,5231,0,0,4
13015,13247,5,5,0,3,2,0,0,0
13015,13255,1,1,0,0,1,0,0,0
13015,13297,11,1,10,2,9,0,0,0
13045,13015,369,219,150,236,133,0,0,0
13045,13057,137,67,70,80,57,0,0,0
13045,13063,769,462,307,490,277,2,0,0
13045,13067,4867,2787,2080,3035,1831,1,0,0
13045,13077,7392,3934,3458,4561,2805,26,0,0
13045,13089,1009,472,537,568,440,1,0,0
13045,13097,25151,7684,17467,10994,14016,6,92,43
13045,13113,1185,627,558,762,423,0,0,0
13045,13117,4,2,2,1,3,0,0,0
13045,13121,6832,3904,2928,4095,2686,51,0,0
13045,13135,141,58,83,66,75,0,0,0
13045,13151,86,35,51,54,32,0,0,0
13045,13217,4,1,3,3,1,0,0,0
13045,13223,13188,4785,8403,6468,6709,0,0,11
13045,13247,26,15,11,18,8,0,0,0
13045,13255,45,34,11,34,11,0,0,0
13045,13297,1,1,0,1,0,0,0,0
13057,13013,119,64,55,63,56,0,0,0
13057,13015,16375,6534,9841,8163,8197,0,10,5
13057,13045,119,54,65,67,52,0,0,0
13057,13063,685,396,289,352,326,7,0,0
13057,13067,155842,48698,107144,68421,86655,375,174,217
13057,13077,33,14,19,19,14,0,0,0
13057,13085,1785,772,1013,1090,695,0,0,0
13057,13089,7261,4360,2901,4442,2784,35,0,0
13057,13097,746,467,279,470,276,0,0,0
13057,13113,84,35,49,40,44,0,0,0
13057,13117,27750,10011,17739,13849,13875,0,7,19
13057,13121,71569,31026,40543,35953,35273,290,16,37
13057,13135,8766,5131,3635,5320,3444,2,0,0
13057,13139,1329,712,617,768,561,0,0,0
13057,13151,98,49,49,57,41,0,0,0
13057,13217,21,11,10,16,5,0,0,0
13057,13223,4765,1938,2827,2300,2465,0,0,0
13057,13247,48,21,27,22,26,0,0,0
13057,13255,4,2,2,3,1,0,0,0
13057,13297,35,21,14,31,4,0,0,0
13063,13013,88,49,39,46,42,0,0,0
13063,13015,73,44,29,51,21,1,0,0
13063,13045,724,429,295,454,268,2,0,0
13063,13057,659,386,273,354,299,6,0,0
13063,13067,9635,6662,2973,5713,3525,397,0,0
13063,13077,6566,4088,2478,4127,2385,54,0,0
13063,13085,11,5,6,7,4,0,0,0
13063,13089,54048,26433,27615,26149,25296,2490,59,54
13063,13097,3292,2049,1243,1930,1283,79,0,0
13063,13113,50657,13911,36746,20388,30021,100,61,87
13063,13117,363,205,158,197,159,7,0,0
13063,13121,171529,87949,83580,81493,76324,12882,530,300
13063,13135,5398,3730,1668,3180,1892,326,0,0
13063,13139,61,33,28,35,23,3,0,0
13063,13151,91430,27407,64023,38843,51926,286,207,168
13063,13217,2326,1490,836,1424,877,25,0,0
13063,13223,978,617,361,572,396,10,0,0
13063,13247,3759,2134,1625,2102,1617,40,0,0
13063,13255,6561,3441,3120,3750,2786,25,0,0
13063,13297,536,351,185,358,176,2,0,0
13067,13013,526,367,159,378,146,2,0,0
13067,13015,33586,14163,19423,17198,16262,19,37,70
13067,13045,4686,2661,2025,2921,1764,1,0,0
13067,13057,157309,49963,107346,69587,86906,404,197,215
13067,13063,9774,6818,2956,5807,3573,394,0,0
13067,13077,2981,1847,1134,1854,1124,3,0,0
13067,13085,741,343,398,444,297,0,0,0
13067,13089,58597,32158,26439,33397,24404,793,0,3
13067,13097,65042,21742,43300,28945,35568,54,298,177
13067,13113,3023,1885,1138,1915,1100,8,0,0
13067,13117,11082,6479,4603,6914,4136,32,0,0
13067,13121,357023,154052,202971,177867,173367,5031,341,417
13067,13135,23296,14169,9127,14719,8418,159,0,0
13067,13139,927,475,452,530,397,0,0,0
13067,13151,3199,2068,1131,1972,1214,13,0,0
13067,13217,767,488,279,468,288,11,0,0
13067,13223,116467,36028,80439,49146,67044,30,104,143
13067,13247,1367,828,539,820,531,16,0,0
13067,13255,303,186,117,177,125,1,0,0
13067,13297,458,251,207,258,200,0,0,0
13077,13013,1,1,0,1,0,0,0,0
13077,13015,16,10,6,10,6,0,0,0
13077,13045,7354,3926,3428,4590,2739,25,0,0
13077,13057,38,17,21,27,11,0,0,0
13077,13063,6724,4291,2433,4342,2330,52,0,0
13077,13067,3123,1992,1131,1992,1128,3,0,0
13077,13089,3167,1795,1372,1865,1287,15,0,0
13077,13097,4275,2225,2050,2401,1873,1,0,0
13077,13113,44015,13571,30444,18972,25005,0,7,31
13077,13117,9,2,7,6,3,0,0,0
13077,13121,27218,13052,14166,14505,12453,247,7,6
