"FIPS","trips_produced","work_trips","nonwork_trips","sov","hov","transit","walk","bike","trips_attracted","balance"
13013,319242,74960,244282,122144,185417,85,10371,1225,319338,-96
13015,418409,120955,297454,176753,226495,50,13326,1785,418462,-53
13045,439011,127430,311581,186775,234204,1041,14725,2266,439101,-90
13057,1079149,259854,819295,430412,618106,709,26295,3627,1079116,33
13063,1179396,358025,821371,464271,635448,23238,50871,5568,1179188,208
13067,3633538,1092999,2540539,1552892,1938780,14477,112116,15273,3633589,-51
13077,566272,145904,420368,233316,314280,344,16049,2283,566208,64
13085,100848,24988,75860,42977,54306,4,3216,345,100918,-70
13089,3382041,1040318,2341723,1407359,1787143,49902,120659,16978,3382137,-96
13097,604594,149884,454710,231961,351042,1246,17909,2436,604509,85
13113,534725,137685,397040,213708,305959,463,12974,1621,534830,-105
13117,1143368,287700,855668,457040,659317,584,23362,3065,1143374,-6
13121,5930501,2312412,3618089,2654350,2746536,181310,318867,29438,5930120,381
13135,4234820,1124063,3110757,1664735,2412791,16842,123978,16474,4234833,-13
13139,844431,237109,607322,339060,474673,366,26826,3506,844409,22
13151,945697,224418,721279,365499,550311,1404,25065,3418,945830,-133
13217,405395,98219,307176,158399,232444,390,12523,1639,405450,-55
13223,601979,137569,464410,229529,355193,279,15045,1933,602049,-70
13247,416976,107117,309859,162406,241032,662,11489,1387,416996,-20
13255,253526,74260,179266,109132,132485,74,10498,1337,253504,22
13297,343496,83532,259964,132682,200366,92,8934,1422,343453,43
