hour_bucket,auto,transit,nonmotorized,school_bus,total
1,31161,1093,961,741,33956
2,77153,2275,2440,317,82185
3,250932,5818,7491,122,264363
4,741172,25084,27508,63460,857224
5,1713732,34634,84843,274163,2107372
6,1367226,24889,65548,90085,1547748
7,955105,14970,48050,13676,1031801
8,939138,11019,51259,5799,1007215
9,1156531,12266,83817,4624,1257238
10,1409137,14043,120591,4812,1548583
11,1292317,14373,99093,8353,1414136
12,1322543,15171,86173,81089,1504976
13,1460148,20948,84069,118276,1683441
14,1590102,26938,77140,127733,1821913
15,1680858,35269,69968,40745,1826840
16,1600577,30124,66104,34437,1731242
17,1247517,10563,50562,20149,1328791
18,906974,7023,37576,10231,961804
19,549951,4782,23088,4606,582427
20,311478,3470,12916,1942,329806
21,154488,2237,6426,987,164138
22,79248,1017,3129,698,84092
23,44883,476,1771,1041,48171
24,33060,385,1397,1699,36541
