AXIS,QUANTITY,CHART
Accessible Employment,243412906,AIRPORT
Jobs Housing Balance,0.05507254227494741,AIRPORT
Transit Mode Share,0.0924628747548333,AIRPORT
Zero Car Transit Trips Per HH,0.8532786885245902,AIRPORT
Accessible Employment,137518756,BUCKHEAD
Jobs Housing Balance,0.3930216976756172,BUCKHEAD
Transit Mode Share,0.03896286654118806,BUCKHEAD
Zero Car Transit Trips Per HH,0.12895696189252276,BUCKHEAD
Accessible Employment,74755515,CUMBERLAND
Jobs Housing Balance,0.23480002584480197,CUMBERLAND
Transit Mode Share,0.008030646992054484,CUMBERLAND
Zero Car Transit Trips Per HH,0.03655292606861126,CUMBERLAND
Accessible Employment,75532586,DOWNTOWN
Jobs Housing Balance,0.10808304756379308,DOWNTOWN
Transit Mode Share,0.0834267878569244,DOWNTOWN
Zero Car Transit Trips Per HH,0.8593338126048407,DOWNTOWN
Accessible Employment,347803200,EMORY
Jobs Housing Balance,0.17202586132976624,EMORY
Transit Mode Share,0.03207349623228584,EMORY
Zero Car Transit Trips Per HH,0.3212042667730037,EMORY
Accessible Employment,12130530,FULTON INDUSTRIAL
Jobs Housing Balance,0.5391313276517096,FULTON INDUSTRIAL
Transit Mode Share,0.039982927338932335,FULTON INDUSTRIAL
Zero Car Transit Trips Per HH,0.07519140669637756,FULTON INDUSTRIAL
Accessible Employment,54095121,GWINNETT PLACE
Jobs Housing Balance,0.3747593397797824,GWINNETT PLACE
Transit Mode Share,0.007873084586385333,GWINNETT PLACE
Zero Car Transit Trips Per HH,0.013824751789425075,GWINNETT PLACE
Accessible Employment,62005733,MIDTOWN
Jobs Housing Balance,0.30034217703942473,MIDTOWN
Transit Mode Share,0.05200178681110056,MIDTOWN
Zero Car Transit Trips Per HH,0.2750478832309623,MIDTOWN
Accessible Employment,87319653,NORCROSS
Jobs Housing Balance,0.36544983543369164,NORCROSS
Transit Mode Share,0.016265457543281122,NORCROSS
Zero Car Transit Trips Per HH,0.029073351140332854,NORCROSS
Accessible Employment,48928350,NORTH POINT
Jobs Housing Balance,0.2376380347814587,NORTH POINT
Transit Mode Share,0.005157657377069603,NORTH POINT
Zero Car Transit Trips Per HH,0.029606544604596805,NORTH POINT
Accessible Employment,119956842,PERIMETER
Jobs Housing Balance,0.20141784820683903,PERIMETER
Transit Mode Share,0.017872802236401603,PERIMETER
Zero Car Transit Trips Per HH,0.1303964419906449,PERIMETER
Accessible Employment,11388895,SOUTHLAKE
Jobs Housing Balance,1.1130622049200696,SOUTHLAKE
Transit Mode Share,0.02406430522183569,SOUTHLAKE
Zero Car Transit Trips Per HH,0.055179342164012504,SOUTHLAKE
Accessible Employment,56418756,TOWN CENTER
Jobs Housing Balance,0.3391212389984308,TOWN CENTER
Transit Mode Share,0.00545997665662154,TOWN CENTER
Zero Car Transit Trips Per HH,0.014384870737350368,TOWN CENTER
