ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
1,1,112465,24552,233,104454,170830,109,216919,195382,342,137250,275393,412643
1,2,20357,4619,59,19212,30921,47,39569,35540,106,25035,50180,75215
1,3,6756,1222,208,2484,3676,46,9240,4898,254,8186,6206,14392
1,4,2450,407,220,471,661,16,2921,1068,236,3077,1148,4225
1,5,534,126,140,58,71,2,592,197,142,800,131,931
1,6,1602,287,267,296,361,33,1898,648,300,2156,690,2846
1,7,345,89,107,64,98,16,409,187,123,541,178,719
1,8,797,181,370,137,218,53,934,399,423,1348,408,1756
1,9,354,114,174,61,81,6,415,195,180,642,148,790
1,10,94,17,4,28,27,0,122,44,4,115,55,170
1,11,231,54,57,35,50,2,266,104,59,342,87,429
1,12,91,38,12,10,20,0,101,58,12,141,30,171
1,15,471,96,0,195,235,0,666,331,0,567,430,997
1,16,432,89,0,172,315,0,604,404,0,521,487,1008
1,17,6839,1375,5,4641,8371,1,11480,9746,6,8219,13013,21232
1,18,3797,737,3,2230,3474,1,6027,4211,4,4537,5705,10242
1,21,76,26,17,6,23,0,82,49,17,119,29,148
1,22,139,45,17,14,41,1,153,86,18,201,56,257
1,23,105,33,20,10,27,2,115,60,22,158,39,197
1,24,98,27,4,18,20,0,116,47,4,129,38,167
1,31,1682,304,1,513,785,0,2195,1089,1,1987,1298,3285
1,32,5497,1060,5,3621,5639,0,9118,6699,5,6562,9260,15822
1,33,309,47,1,70,72,1,379,119,2,357,143,500
1,34,899,183,3,257,408,1,1156,591,4,1085,666,1751
1,35,1867,343,16,376,569,3,2243,912,19,2226,948,3174
1,36,432,97,8,85,156,0,517,253,8,537,241,778
1,41,4442,865,139,1411,2356,15,5853,3221,154,5446,3782,9228
1,43,1074,180,38,239,373,6,1313,553,44,1292,618,1910
1,44,1326,280,48,366,622,2,1692,902,50,1654,990,2644
1,45,173,42,41,18,34,1,191,76,42,256,53,309
1,46,151,27,18,35,19,6,186,46,24,196,60,256
1,47,355,76,59,49,69,1,404,145,60,490,119,609
1,48,311,71,23,66,87,0,377,158,23,405,153,558
1,49,260,49,16,48,64,1,308,113,17,325,113,438
1,51,52,9,2,12,14,0,64,23,2,63,26,89
1,52,140,26,3,23,38,0,163,64,3,169,61,230
1,61,20,5,1,6,13,0,26,18,1,26,19,45
1,62,27,11,1,11,17,0,38,28,1,39,28,67
1,71,5726,1116,0,2842,5177,1,8568,6293,1,6842,8020,14862
1,72,9887,2136,7,7260,13204,3,17147,15340,10,12030,20467,32497
1,73,719,133,0,184,289,0,903,422,0,852,473,1325
1,74,7575,1632,13,4363,8025,2,11938,9657,15,9220,12390,21610
1,75,890,178,3,380,677,1,1270,855,4,1071,1058,2129
1,76,762,147,0,211,336,2,973,483,2,909,549,1458
1,81,82,24,0,14,31,1,96,55,1,106,46,152
1,82,35,2,1,12,10,1,47,12,2,38,23,61
1,83,33,15,1,13,18,0,46,33,1,49,31,80
1,91,41,10,0,10,14,0,51,24,0,51,24,75
1,92,114,24,3,19,21,1,133,45,4,141,41,182
1,101,373,57,0,59,57,0,432,114,0,430,116,546
1,102,238,49,0,42,44,0,280,93,0,287,86,373
1,111,47,7,0,11,18,0,58,25,0,54,29,83
1,112,93,12,0,24,23,0,117,35,0,105,47,152
1,113,81,15,0,20,43,0,101,58,0,96,63,159
1,114,273,64,0,66,91,0,339,155,0,337,157,494
1,121,10,2,0,3,4,0,13,6,0,12,7,19
1,122,1,1,0,0,0,0,1,1,0,2,0,2
1,123,4,0,0,1,0,0,5,0,0,4,1,5
1,124,0,1,0,0,1,0,0,2,0,1,1,2
1,131,2,1,0,0,0,0,2,1,0,3,0,3
1,132,18,3,1,3,12,0,21,15,1,22,15,37
1,133,0,0,0,0,2,0,0,2,0,0,2,2
1,134,4,1,0,1,1,0,5,2,0,5,2,7
1,141,3624,687,0,1056,1658,0,4680,2345,0,4311,2714,7025
1,142,11559,2227,6,6073,12345,3,17632,14572,9,13792,18421,32213
1,143,17762,4023,19,16622,30161,13,34384,34184,32,21804,46796,68600
1,151,255,47,0,49,79,0,304,126,0,302,128,430
1,152,670,122,0,129,148,0,799,270,0,792,277,1069
1,153,798,141,0,204,273,0,1002,414,0,939,477,1416
1,163,84,11,1,17,19,0,101,30,1,96,36,132
1,164,7,0,0,1,0,0,8,0,0,7,1,8
1,171,180,26,0,46,61,0,226,87,0,206,107,313
1,172,49,10,0,8,16,0,57,26,0,59,24,83
1,173,334,44,1,42,78,0,376,122,1,379,120,499
1,181,5,2,0,2,4,0,7,6,0,7,6,13
1,182,4,2,0,1,1,0,5,3,0,6,2,8
1,191,232,32,1,53,73,0,285,105,1,265,126,391
1,192,147,26,0,27,35,0,174,61,0,173,62,235
1,201,890,187,0,291,371,0,1181,558,0,1077,662,1739
2,1,20581,4713,64,19156,31001,40,39737,35714,104,25358,50197,75555
2,2,36330,7830,67,48606,70028,97,84936,77858,164,44227,118731,162958
2,3,7153,1454,112,5254,7475,46,12407,8929,158,8719,12775,21494
2,4,1609,284,143,562,694,27,2171,978,170,2036,1283,3319
2,5,326,68,56,59,101,4,385,169,60,450,164,614
2,6,977,174,173,272,329,47,1249,503,220,1324,648,1972
2,7,240,51,40,57,67,18,297,118,58,331,142,473
2,8,564,144,310,127,198,69,691,342,379,1018,394,1412
2,9,234,55,67,45,62,9,279,117,76,356,116,472
2,10,76,17,1,11,24,0,87,41,1,94,35,129
2,11,189,55,35,15,27,2,204,82,37,279,44,323
2,12,60,15,7,13,30,4,73,45,11,82,47,129
2,15,200,43,0,102,125,0,302,168,0,243,227,470
2,16,124,25,0,52,117,0,176,142,0,149,169,318
2,17,2492,448,1,1467,2869,2,3959,3317,3,2941,4338,7279
2,18,2848,525,1,1694,2933,0,4542,3458,1,3374,4627,8001
2,21,53,15,29,3,2,0,56,17,29,97,5,102
2,22,120,38,11,9,28,5,129,66,16,169,42,211
2,23,50,17,7,13,17,0,63,34,7,74,30,104
2,24,45,13,1,10,4,1,55,17,2,59,15,74
2,31,1343,282,0,485,679,8,1828,961,8,1625,1172,2797
2,32,6417,1387,2,6906,11350,2,13323,12737,4,7806,18258,26064
2,33,231,29,0,58,109,0,289,138,0,260,167,427
2,34,825,179,1,318,405,1,1143,584,2,1005,724,1729
2,35,1611,310,8,534,775,1,2145,1085,9,1929,1310,3239
2,36,348,66,3,91,138,1,439,204,4,417,230,647
2,41,3671,810,59,2370,3978,13,6041,4788,72,4540,6361,10901
2,43,683,110,20,261,323,6,944,433,26,813,590,1403
2,44,951,192,14,449,642,3,1400,834,17,1157,1094,2251
2,45,102,26,13,14,31,1,116,57,14,141,46,187
2,46,91,26,11,27,38,5,118,64,16,128,70,198
2,47,185,37,17,45,57,3,230,94,20,239,105,344
2,48,195,24,7,76,84,1,271,108,8,226,161,387
2,49,139,30,10,45,50,1,184,80,11,179,96,275
2,51,33,5,0,7,22,0,40,27,0,38,29,67
2,52,91,19,1,21,33,0,112,52,1,111,54,165
2,61,16,4,0,2,8,0,18,12,0,20,10,30
2,62,21,6,0,7,8,0,28,14,0,27,15,42
2,71,990,193,3,338,576,1,1328,769,4,1186,915,2101
2,72,2219,468,0,1200,1954,1,3419,2422,1,2687,3155,5842
2,73,211,42,0,57,102,0,268,144,0,253,159,412
2,74,4925,1083,5,3758,6171,3,8683,7254,8,6013,9932,15945
2,75,477,96,0,250,383,0,727,479,0,573,633,1206
2,76,223,59,1,75,122,1,298,181,2,283,198,481
2,81,63,14,2,14,17,0,77,31,2,79,31,110
2,82,22,3,0,7,20,1,29,23,1,25,28,53
2,83,29,18,0,7,28,0,36,46,0,47,35,82
2,91,25,3,0,6,12,1,31,15,1,28,19,47
2,92,57,16,1,12,9,0,69,25,1,74,21,95
2,101,86,21,0,24,39,0,110,60,0,107,63,170
2,102,65,12,0,19,37,0,84,49,0,77,56,133
2,111,32,10,0,12,13,0,44,23,0,42,25,67
2,112,38,6,0,13,17,0,51,23,0,44,30,74
2,113,54,5,0,19,29,0,73,34,0,59,48,107
2,114,205,25,0,51,45,0,256,70,0,230,96,326
2,121,8,1,0,1,3,0,9,4,0,9,4,13
2,122,0,0,0,1,0,0,1,0,0,0,1,1
2,123,4,1,0,5,2,0,9,3,0,5,7,12
2,124,0,0,0,0,1,0,0,1,0,0,1,1
2,131,1,0,0,1,1,0,2,1,0,1,2,3
2,132,13,9,0,6,14,0,19,23,0,22,20,42
2,133,0,0,0,0,1,0,0,1,0,0,1,1
2,134,2,0,0,0,1,0,2,1,0,2,1,3
2,141,915,149,0,284,354,0,1199,503,0,1064,638,1702
2,142,2418,431,0,1024,1711,3,3442,2142,3,2849,2738,5587
2,143,2256,476,0,1384,2750,0,3640,3226,0,2732,4134,6866
2,151,46,13,0,16,33,0,62,46,0,59,49,108
2,152,152,29,0,33,39,0,185,68,0,181,72,253
2,153,173,37,0,58,60,0,231,97,0,210,118,328
2,163,47,4,0,13,15,1,60,19,1,51,29,80
2,164,3,1,0,1,3,0,4,4,0,4,4,8
2,171,127,27,0,29,46,0,156,73,0,154,75,229
2,172,42,3,0,11,14,0,53,17,0,45,25,70
2,173,234,49,0,55,64,0,289,113,0,283,119,402
2,181,2,0,0,1,0,0,3,0,0,2,1,3
2,182,4,1,0,0,2,0,4,3,0,5,2,7
2,191,83,12,0,22,12,0,105,24,0,95,34,129
2,192,40,9,0,9,21,0,49,30,0,49,30,79
2,201,229,49,0,105,146,0,334,195,0,278,251,529
3,1,7011,1233,217,2608,3591,51,9619,4824,268,8461,6250,14711
3,2,7462,1547,113,5293,7601,47,12755,9148,160,9122,12941,22063
3,3,77198,16034,1304,58035,62562,664,135233,78596,1968,94536,121261,215797
3,4,13033,2505,883,8230,9857,212,21263,12362,1095,16421,18299,34720
3,5,2254,463,648,553,577,71,2807,1040,719,3365,1201,4566
3,6,5385,902,1271,1229,1479,173,6614,2381,1444,7558,2881,10439
3,7,1573,339,752,237,270,101,1810,609,853,2664,608,3272
3,8,2527,557,1598,453,625,197,2980,1182,1795,4682,1275,5957
3,9,1296,364,831,152,241,79,1448,605,910,2491,472,2963
3,10,411,75,41,103,99,20,514,174,61,527,222,749
3,11,802,199,446,92,131,49,894,330,495,1447,272,1719
3,12,437,92,110,85,76,42,522,168,152,639,203,842
3,15,159,18,0,43,63,2,202,81,2,177,108,285
