PERSON_TYPE,PER,ORIG_PURPOSE,QUANTITY
ALL,1,EATOUT,368
ALL,1,ESCORT,2266
ALL,1,HOME,7734483
ALL,1,OTHER DISCRETIONARY,950
ALL,1,OTHER MAINTENANCE,2917
ALL,1,SCHOOL,1379
ALL,1,SHOPPING,1328
ALL,1,SOCIAL,478
ALL,1,UNIVERSITY,300
ALL,1,WORK,6200
ALL,1,WORK SUB-TOUR,125
ALL,2,EATOUT,871
ALL,2,ESCORT,4792
ALL,2,HOME,7719793
ALL,2,OTHER DISCRETIONARY,1841
ALL,2,OTHER MAINTENANCE,6089
ALL,2,SCHOOL,2166
ALL,2,SHOPPING,2916
ALL,2,SOCIAL,1148
ALL,2,UNIVERSITY,512
ALL,2,WORK,15797
ALL,2,WORK SUB-TOUR,432
ALL,3,EATOUT,1484
ALL,3,ESCORT,7302
ALL,3,HOME,7703534
ALL,3,OTHER DISCRETIONARY,3057
ALL,3,OTHER MAINTENANCE,9292
ALL,3,SCHOOL,2706
ALL,3,SHOPPING,4452
ALL,3,SOCIAL,1939
ALL,3,UNIVERSITY,708
ALL,3,WORK,31591
ALL,3,WORK SUB-TOUR,892
ALL,4,EATOUT,5814
ALL,4,ESCORT,11152
ALL,4,HOME,7681585
ALL,4,OTHER DISCRETIONARY,5763
ALL,4,OTHER MAINTENANCE,14627
ALL,4,SCHOOL,3023
ALL,4,SHOPPING,6252
ALL,4,SOCIAL,3309
ALL,4,UNIVERSITY,1074
ALL,4,WORK,59000
ALL,4,WORK SUB-TOUR,1491
ALL,5,EATOUT,9528
ALL,5,ESCORT,15075
ALL,5,HOME,7643021
ALL,5,OTHER DISCRETIONARY,14995
ALL,5,OTHER MAINTENANCE,21041
ALL,5,SCHOOL,3258
ALL,5,SHOPPING,7602
ALL,5,SOCIAL,4786
ALL,5,UNIVERSITY,1739
ALL,5,WORK,117492
ALL,5,WORK SUB-TOUR,2256
ALL,6,EATOUT,12768
ALL,6,ESCORT,23208
ALL,6,HOME,7570849
ALL,6,OTHER DISCRETIONARY,23473
ALL,6,OTHER MAINTENANCE,31445
ALL,6,SCHOOL,3385
ALL,6,SHOPPING,10328
ALL,6,SOCIAL,6543
ALL,6,UNIVERSITY,3081
ALL,6,WORK,229137
ALL,6,WORK SUB-TOUR,3121
ALL,7,EATOUT,15490
ALL,7,ESCORT,42169
ALL,7,HOME,7445634
ALL,7,OTHER DISCRETIONARY,32122
ALL,7,OTHER MAINTENANCE,47607
ALL,7,SCHOOL,32293
ALL,7,SHOPPING,16163
ALL,7,SOCIAL,9253
ALL,7,UNIVERSITY,5625
ALL,7,WORK,406304
ALL,7,WORK SUB-TOUR,3865
ALL,8,EATOUT,18466
ALL,8,ESCORT,87593
ALL,8,HOME,7228465
ALL,8,OTHER DISCRETIONARY,41802
ALL,8,OTHER MAINTENANCE,70810
ALL,8,SCHOOL,159603
ALL,8,SHOPPING,26622
ALL,8,SOCIAL,13197
ALL,8,UNIVERSITY,10999
ALL,8,WORK,670160
ALL,8,WORK SUB-TOUR,5211
ALL,9,EATOUT,24416
ALL,9,ESCORT,200061
ALL,9,HOME,6819330
ALL,9,OTHER DISCRETIONARY,61626
ALL,9,OTHER MAINTENANCE,106200
ALL,9,SCHOOL,477899
ALL,9,SHOPPING,46948
ALL,9,SOCIAL,23898
ALL,9,UNIVERSITY,22648
ALL,9,WORK,1008694
ALL,9,WORK SUB-TOUR,7578
ALL,10,EATOUT,33869
ALL,10,ESCORT,329039
ALL,10,HOME,6056489
ALL,10,OTHER DISCRETIONARY,89555
ALL,10,OTHER MAINTENANCE,154147
ALL,10,SCHOOL,827236
ALL,10,SHOPPING,78782
ALL,10,SOCIAL,35469
ALL,10,UNIVERSITY,30668
ALL,10,WORK,1287278
ALL,10,WORK SUB-TOUR,10820
ALL,11,EATOUT,40084
ALL,11,ESCORT,312790
ALL,11,HOME,5274065
ALL,11,OTHER DISCRETIONARY,123148
ALL,11,OTHER MAINTENANCE,206204
ALL,11,SCHOOL,1016545
ALL,11,SHOPPING,115305
ALL,11,SOCIAL,43614
ALL,11,UNIVERSITY,43290
ALL,11,WORK,1515746
ALL,11,WORK SUB-TOUR,15154
ALL,12,EATOUT,41099
ALL,12,ESCORT,230910
ALL,12,HOME,4741568
ALL,12,OTHER DISCRETIONARY,154236
ALL,12,OTHER MAINTENANCE,237906
ALL,12,SCHOOL,1074897
ALL,12,SHOPPING,138498
ALL,12,SOCIAL,48676
ALL,12,UNIVERSITY,51497
ALL,12,WORK,1680297
ALL,12,WORK SUB-TOUR,20542
ALL,13,EATOUT,46023
ALL,13,ESCORT,165357
ALL,13,HOME,4428858
ALL,13,OTHER DISCRETIONARY,192045
ALL,13,OTHER MAINTENANCE,276787
ALL,13,SCHOOL,1102779
ALL,13,SHOPPING,181180
ALL,13,SOCIAL,61920
ALL,13,UNIVERSITY,59820
ALL,13,WORK,1794682
ALL,13,WORK SUB-TOUR,27744
ALL,14,EATOUT,49613
ALL,14,ESCORT,132702
ALL,14,HOME,4170720
ALL,14,OTHER DISCRETIONARY,219575
ALL,14,OTHER MAINTENANCE,308820
ALL,14,SCHOOL,1117234
ALL,14,SHOPPING,218933
ALL,14,SOCIAL,72312
ALL,14,UNIVERSITY,65361
ALL,14,WORK,1859384
ALL,14,WORK SUB-TOUR,38564
ALL,15,EATOUT,53988
ALL,15,ESCORT,121161
ALL,15,HOME,4009372
ALL,15,OTHER DISCRETIONARY,234268
ALL,15,OTHER MAINTENANCE,359083
ALL,15,SCHOOL,1124718
ALL,15,SHOPPING,276586
ALL,15,SOCIAL,82367
ALL,15,UNIVERSITY,69913
ALL,15,WORK,1901415
ALL,15,WORK SUB-TOUR,55707
ALL,16,EATOUT,57027
ALL,16,ESCORT,115776
ALL,16,HOME,3850184
ALL,16,OTHER DISCRETIONARY,233266
ALL,16,OTHER MAINTENANCE,377108
ALL,16,SCHOOL,1128546
ALL,16,SHOPPING,317897
ALL,16,SOCIAL,90414
ALL,16,UNIVERSITY,73745
ALL,16,WORK,1930522
ALL,16,WORK SUB-TOUR,83251
ALL,17,EATOUT,69360
ALL,17,ESCORT,115384
ALL,17,HOME,3772614
ALL,17,OTHER DISCRETIONARY,227091
ALL,17,OTHER MAINTENANCE,386854
ALL,17,SCHOOL,1129317
ALL,17,SHOPPING,342302
ALL,17,SOCIAL,97979
ALL,17,UNIVERSITY,77109
ALL,17,WORK,1950775
ALL,17,WORK SUB-TOUR,146279
ALL,18,EATOUT,92629
ALL,18,ESCORT,119163
ALL,18,HOME,3718077
ALL,18,OTHER DISCRETIONARY,218343
ALL,18,OTHER MAINTENANCE,390820
ALL,18,SCHOOL,1126909
ALL,18,SHOPPING,358738
ALL,18,SOCIAL,105254
ALL,18,UNIVERSITY,79865
ALL,18,WORK,1955462
ALL,18,WORK SUB-TOUR,294353
ALL,19,EATOUT,111864
ALL,19,ESCORT,123657
ALL,19,HOME,3690716
ALL,19,OTHER DISCRETIONARY,207696
ALL,19,OTHER MAINTENANCE,387988
ALL,19,SCHOOL,1121952
ALL,19,SHOPPING,364461
ALL,19,SOCIAL,109940
ALL,19,UNIVERSITY,81963
ALL,19,WORK,1880476
ALL,19,WORK SUB-TOUR,428187
ALL,20,EATOUT,125866
ALL,20,ESCORT,129211
ALL,20,HOME,3686632
ALL,20,OTHER DISCRETIONARY,196965
ALL,20,OTHER MAINTENANCE,383228
ALL,20,SCHOOL,1114808
ALL,20,SHOPPING,362644
ALL,20,SOCIAL,114022
ALL,20,UNIVERSITY,83433
ALL,20,WORK,1865501
ALL,20,WORK SUB-TOUR,463882
ALL,21,EATOUT,124010
ALL,21,ESCORT,136036
ALL,21,HOME,3704264
ALL,21,OTHER DISCRETIONARY,187858
ALL,21,OTHER MAINTENANCE,386492
ALL,21,SCHOOL,1104624
ALL,21,SHOPPING,350040
ALL,21,SOCIAL,117238
ALL,21,UNIVERSITY,84263
ALL,21,WORK,1918306
ALL,21,WORK SUB-TOUR,359233
ALL,22,EATOUT,110853
