TRIPS BY MODE,NEST MODE,SIMPLE MODE,QUANTITY
AUTO,DRIVEALONE,DRIVEALONEFREE,12709199
AUTO,DRIVEALONE,DRIVEALONEPAY,160684
AUTO,SHARED2,SHARED2FREE,6045712
AUTO,SHARED2,SHARED2PAY,11916
AUTO,SHARED3,SHARED3FREE,4157718
AUTO,SHARED3,SHARED3PAY,7976
NONMOTORIZED,NONMOTORIZED,BIKE,128293
NONMOTORIZED,NONMOTORIZED,WALK,1044368
SCHOOL_BUS,SCHOOL_BUS,SCHOOL_BUS,966807
TRANSIT,KNR,KNR_ALLTRN,12440
TRANSIT,KNR,KNR_PRMTRN,14635
TRANSIT,PNR,PNR_ALLTRN,5861
TRANSIT,PNR,PNR_PRMTRN,46633
TRANSIT,WALK_TRANSIT,WALK_ALLTRN,174567
TRANSIT,WALK_TRANSIT,WALK_PRMTRN,47211
