ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
1,1,108415,24129,982,100983,168397,339,209398,192526,1321,133526,269719,403245
1,2,20290,4696,298,18696,30642,109,38986,35338,407,25284,49447,74731
1,3,7509,1472,329,2730,3790,52,10239,5262,381,9310,6572,15882
1,4,2694,426,321,531,761,29,3225,1187,350,3441,1321,4762
1,5,538,114,146,64,114,7,602,228,153,798,185,983
1,6,1729,266,340,310,392,58,2039,658,398,2335,760,3095
1,7,404,102,126,58,112,19,462,214,145,632,189,821
1,8,887,218,385,147,244,60,1034,462,445,1490,451,1941
1,9,331,105,196,74,96,10,405,201,206,632,180,812
1,10,99,20,3,26,30,0,125,50,3,122,56,178
1,11,263,51,68,41,56,3,304,107,71,382,100,482
1,12,99,32,11,13,35,1,112,67,12,142,49,191
1,15,561,95,0,196,236,0,757,331,0,656,432,1088
1,16,467,82,0,194,382,0,661,464,0,549,576,1125
1,17,7085,1409,28,4591,8380,9,11676,9789,37,8522,12980,21502
1,18,3862,724,17,2180,3548,7,6042,4272,24,4603,5735,10338
1,21,84,24,34,9,13,0,93,37,34,142,22,164
1,22,149,52,34,22,47,1,171,99,35,235,70,305
1,23,106,28,26,11,19,2,117,47,28,160,32,192
1,24,93,29,8,21,30,0,114,59,8,130,51,181
1,31,1609,314,2,488,727,6,2097,1041,8,1925,1221,3146
1,32,5267,1088,25,3484,5910,8,8751,6998,33,6380,9402,15782
1,33,282,50,1,62,99,1,344,149,2,333,162,495
1,34,881,194,33,255,373,11,1136,567,44,1108,639,1747
1,35,2082,398,61,425,567,8,2507,965,69,2541,1000,3541
1,36,465,99,18,92,147,0,557,246,18,582,239,821
1,41,4822,939,260,1582,2502,35,6404,3441,295,6021,4119,10140
1,43,1144,211,98,265,419,27,1409,630,125,1453,711,2164
1,44,1534,257,63,417,601,8,1951,858,71,1854,1026,2880
1,45,171,40,55,19,50,4,190,90,59,266,73,339
1,46,147,27,32,37,33,4,184,60,36,206,74,280
1,47,361,72,72,49,77,6,410,149,78,505,132,637
1,48,347,55,36,80,84,1,427,139,37,438,165,603
1,49,246,53,27,43,51,2,289,104,29,326,96,422
1,51,45,6,0,13,31,0,58,37,0,51,44,95
1,52,152,19,5,24,21,0,176,40,5,176,45,221
1,61,20,6,0,8,12,0,28,18,0,26,20,46
1,62,43,11,1,12,13,0,55,24,1,55,25,80
1,71,5951,1224,14,3017,5277,6,8968,6501,20,7189,8300,15489
1,72,10407,2447,104,7702,13793,28,18109,16240,132,12958,21523,34481
1,73,798,154,4,204,327,0,1002,481,4,956,531,1487
1,74,7070,1658,47,4501,7974,9,11571,9632,56,8775,12484,21259
1,75,886,201,8,377,621,2,1263,822,10,1095,1000,2095
1,76,812,151,1,231,384,1,1043,535,2,964,616,1580
1,81,94,22,2,17,28,0,111,50,2,118,45,163
1,82,40,1,0,12,19,1,52,20,1,41,32,73
1,83,43,14,1,15,13,1,58,27,2,58,29,87
1,91,39,10,0,8,12,0,47,22,0,49,20,69
1,92,101,26,2,25,42,1,126,68,3,129,68,197
1,101,442,72,0,58,78,1,500,150,1,514,137,651
1,102,341,67,3,58,72,0,399,139,3,411,130,541
1,111,51,4,0,10,23,0,61,27,0,55,33,88
1,112,95,18,0,23,29,1,118,47,1,113,53,166
1,113,87,17,0,19,33,0,106,50,0,104,52,156
1,114,299,60,0,66,121,0,365,181,0,359,187,546
1,121,9,1,0,4,1,0,13,2,0,10,5,15
1,122,1,0,0,0,1,0,1,1,0,1,1,2
1,123,8,0,0,3,2,0,11,2,0,8,5,13
1,124,1,0,0,1,3,0,2,3,0,1,4,5
1,131,1,0,0,0,0,0,1,0,0,1,0,1
1,132,10,0,1,8,14,0,18,14,1,11,22,33
1,134,1,0,0,1,1,0,2,1,0,1,2,3
1,141,3733,670,18,1101,1681,5,4834,2351,23,4421,2787,7208
1,142,12219,2336,74,6314,12665,20,18533,15001,94,14629,18999,33628
1,143,18175,4071,60,16668,30964,19,34843,35035,79,22306,47651,69957
1,151,337,49,0,57,71,0,394,120,0,386,128,514
1,152,811,147,0,133,151,0,944,298,0,958,284,1242
1,153,866,131,0,227,272,0,1093,403,0,997,499,1496
1,163,91,19,2,19,16,0,110,35,2,112,35,147
1,164,4,0,0,2,0,0,6,0,0,4,2,6
1,171,169,28,0,38,55,0,207,83,0,197,93,290
1,172,44,6,0,8,19,0,52,25,0,50,27,77
1,173,312,51,0,49,83,0,361,134,0,363,132,495
