PERSON_TYPE,PER,ORIG_PURPOSE,QUANTITY
ALL,1,EATOUT,345
ALL,1,ESCORT,2206
ALL,1,HOME,7736131
ALL,1,OTHER DISCRETIONARY,995
ALL,1,OTHER MAINTENANCE,2929
ALL,1,SCHOOL,1308
ALL,1,SHOPPING,1353
ALL,1,SOCIAL,467
ALL,1,UNIVERSITY,275
ALL,1,WORK,6343
ALL,1,WORK SUB-TOUR,135
ALL,2,EATOUT,835
ALL,2,ESCORT,4694
ALL,2,HOME,7721604
ALL,2,OTHER DISCRETIONARY,1752
ALL,2,OTHER MAINTENANCE,6088
ALL,2,SCHOOL,2039
ALL,2,SHOPPING,2999
ALL,2,SOCIAL,1108
ALL,2,UNIVERSITY,517
ALL,2,WORK,15940
ALL,2,WORK SUB-TOUR,396
ALL,3,EATOUT,1479
ALL,3,ESCORT,7279
ALL,3,HOME,7705301
ALL,3,OTHER DISCRETIONARY,3064
ALL,3,OTHER MAINTENANCE,9377
ALL,3,SCHOOL,2569
ALL,3,SHOPPING,4559
ALL,3,SOCIAL,1906
ALL,3,UNIVERSITY,718
ALL,3,WORK,32028
ALL,3,WORK SUB-TOUR,840
ALL,4,EATOUT,5730
ALL,4,ESCORT,11206
ALL,4,HOME,7682917
ALL,4,OTHER DISCRETIONARY,5814
ALL,4,OTHER MAINTENANCE,14610
ALL,4,SCHOOL,2864
ALL,4,SHOPPING,6275
ALL,4,SOCIAL,3277
ALL,4,UNIVERSITY,1082
ALL,4,WORK,59992
ALL,4,WORK SUB-TOUR,1436
ALL,5,EATOUT,9467
ALL,5,ESCORT,14828
ALL,5,HOME,7643699
ALL,5,OTHER DISCRETIONARY,15043
ALL,5,OTHER MAINTENANCE,20872
ALL,5,SCHOOL,3073
ALL,5,SHOPPING,7738
ALL,5,SOCIAL,4771
ALL,5,UNIVERSITY,1748
ALL,5,WORK,118903
ALL,5,WORK SUB-TOUR,2200
ALL,6,EATOUT,12751
ALL,6,ESCORT,23016
ALL,6,HOME,7571479
ALL,6,OTHER DISCRETIONARY,23282
