TRIPS BY MODE,NEST MODE,SIMPLE MODE,QUANTITY
AUTO,DRIVEALONE,DRIVEALONEFREE,12098792
AUTO,DRIVEALONE,DRIVEALONEPAY,551083
AUTO,SHARED2,SHARED2FREE,6006516
AUTO,SHARED2,SHARED2PAY,53007
AUTO,SHARED3,SHARED3FREE,4044451
AUTO,SHARED3,SHARED3PAY,70772
NONMOTORIZED,NONMOTORIZED,BIKE,128603
NONMOTORIZED,NONMOTORIZED,WALK,1115493
SCHOOL_BUS,SCHOOL_BUS,SCHOOL_BUS,971447
TRANSIT,KNR,KNR_ALLTRN,11228
TRANSIT,KNR,KNR_PRMTRN,25181
TRANSIT,PNR,PNR_ALLTRN,7057
TRANSIT,PNR,PNR_PRMTRN,55845
TRANSIT,WALK_TRANSIT,WALK_ALLTRN,192935
TRANSIT,WALK_TRANSIT,WALK_PRMTRN,115405
