hour_bucket,auto,transit,nonmotorized,school_bus,total
1,36492,927,942,771,39132
2,87474,1934,2478,370,92256
3,278127,5022,7641,158,290948
4,805648,23853,28398,67601,925500
5,1872516,33271,88029,291389,2285205
6,1509303,23577,69580,95650,1698110
7,1082927,14021,52145,14315,1163408
8,1081583,10838,56002,6031,1154454
9,1322325,11613,88675,4850,1427463
10,1594191,13547,126358,5062,1739158
11,1468843,13461,104100,8744,1595148
12,1500967,14277,91159,86353,1692756
13,1648602,19940,89590,125997,1884129
14,1779140,25360,81442,136067,2022009
15,1857930,33156,73781,43428,2008295
16,1763303,29030,70041,36492,1898866
17,1376432,9853,52818,21311,1460414
18,1002688,6355,39087,10754,1058884
19,604559,4418,23649,4771,637397
20,339958,3058,13672,1991,358679
21,168311,2052,6587,1014,177964
22,85897,946,3087,724,90654
23,49250,476,1913,1133,52772
24,36837,362,1487,1831,40517
