"ORIG_FIPS","DEST_FIPS","ALLALL","WRKALL","NWKALL","ALLSOV","ALLHOV","ALLTRN","ALLWALK","ALLBIKE"
13013,13015,2,1,1,0,2,0,0,0
13013,13057,142,52,90,73,69,0,0,0
13013,13063,146,91,55,90,56,0,0,0
13013,13067,630,403,227,441,188,1,0,0
13013,13085,62,38,24,44,18,0,0,0
13013,13089,4191,2504,1687,2703,1482,6,0,0
13013,13097,10,7,3,9,1,0,0,0
13013,13113,4,2,2,4,0,0,0,0
13013,13117,1670,912,758,976,694,0,0,0
13013,13121,3950,2414,1536,2496,1429,25,0,0
13013,13135,65671,20327,45344,28005,37550,4,27,85
13013,13139,9782,3533,6249,4614,5159,0,0,9
13013,13151,185,89,96,99,86,0,0,0
13013,13217,925,566,359,613,312,0,0,0
13013,13223,3,3,0,3,0,0,0,0
13013,13247,989,546,443,546,443,0,0,0
13013,13255,3,1,2,1,2,0,0,0
13013,13297,14785,4159,10626,5965,8808,0,1,11
13015,13013,4,2,2,3,1,0,0,0
13015,13045,457,211,246,234,223,0,0,0
13015,13057,19686,7488,12198,9794,9867,0,12,13
13015,13063,151,70,81,72,79,0,0,0
13015,13067,37241,15073,22168,19108,18020,7,30,76
13015,13077,14,8,6,10,4,0,0,0
13015,13085,84,40,44,57,27,0,0,0
13015,13089,1524,725,799,814,707,3,0,0
13015,13097,860,488,372,522,338,0,0,0
13015,13113,15,5,10,8,7,0,0,0
13015,13117,906,479,427,549,357,0,0,0
13015,13121,6455,3443,3012,3622,2807,26,0,0
13015,13135,488,274,214,298,190,0,0,0
13015,13139,20,13,7,16,4,0,0,0
13015,13151,25,9,16,16,9,0,0,0
13015,13223,12839,4508,8331,5795,7041,0,0,3
13015,13247,7,1,6,3,4,0,0,0
13015,13297,2,0,2,1,1,0,0,0
13045,13015,444,235,209,257,187,0,0,0
13045,13057,125,52,73,70,55,0,0,0
13045,13063,801,491,310,521,277,3,0,0
13045,13067,5345,3003,2342,3222,2122,1,0,0
13045,13077,8939,4052,4887,5142,3761,36,0,0
13045,13089,1054,519,535,590,462,2,0,0
13045,13097,28345,8420,19925,12396,15802,9,92,46
13045,13113,1322,678,644,873,449,0,0,0
13045,13117,10,5,5,8,2,0,0,0
13045,13121,7918,4324,3594,4643,3213,62,0,0
13045,13135,120,88,32,86,34,0,0,0
13045,13151,137,41,96,71,66,0,0,0
13045,13217,2,1,1,1,1,0,0,0
13045,13223,16048,5166,10882,7571,8471,0,0,6
13045,13247,23,8,15,10,13,0,0,0
13045,13255,51,30,21,34,17,0,0,0
13057,13013,136,47,89,58,78,0,0,0
13057,13015,20052,7568,12484,9848,10178,0,12,14
13057,13045,137,60,77,74,63,0,0,0
13057,13063,775,458,317,390,371,14,0,0
13057,13067,177093,51594,125499,76286,100137,208,228,234
13057,13077,50,14,36,22,28,0,0,0
13057,13085,2160,839,1321,1194,966,0,0,0
13057,13089,7778,4421,3357,4732,3010,36,0,0
13057,13097,908,509,399,538,370,0,0,0
13057,13113,84,52,32,51,33,0,0,0
13057,13117,39584,11026,28558,17343,22210,0,7,24
13057,13121,83664,32249,51415,39683,43617,297,24,43
13057,13135,9365,5089,4276,5584,3777,4,0,0
13057,13139,1141,586,555,678,463,0,0,0
13057,13151,157,57,100,65,92,0,0,0
13057,13217,17,6,11,9,8,0,0,0
13057,13223,5770,2025,3745,2634,3136,0,0,0
13057,13247,81,35,46,41,40,0,0,0
13057,13255,12,3,9,5,7,0,0,0
13057,13297,53,21,32,29,24,0,0,0
13063,13013,127,74,53,77,50,0,0,0
13063,13015,109,43,66,49,60,0,0,0
13063,13045,751,443,308,480,268,3,0,0
13063,13057,681,415,266,364,304,13,0,0
13063,13067,10406,7223,3183,6289,3775,342,0,0
13063,13077,7623,4471,3152,4678,2904,41,0,0
13063,13085,9,2,7,3,6,0,0,0
13063,13089,56306,28100,28206,27863,25914,2432,51,46
13063,13097,3546,2306,1240,2171,1310,65,0,0
13063,13113,56867,15327,41540,23142,33542,43,49,91
13063,13117,435,209,226,207,215,13,0,0
13063,13121,184807,92150,92657,90952,82582,10463,497,313
13063,13135,5494,3759,1735,3309,1974,211,0,0
13063,13139,80,35,45,32,47,1,0,0
13063,13151,106716,30196,76520,45242,60938,88,241,207
13063,13217,2503,1607,896,1634,860,9,0,0
13063,13223,1050,739,311,715,328,7,0,0
13063,13247,4042,2291,1751,2275,1719,48,0,0
13063,13255,7074,3669,3405,4070,2993,11,0,0
13063,13297,681,410,271,434,246,1,0,0
13067,13013,525,334,191,365,159,1,0,0
13067,13015,37796,15388,22408,19453,18229,6,33,75
13067,13045,5109,2878,2231,3100,2007,2,0,0
13067,13057,178598,52926,125672,77747,100201,217,207,226
13067,13063,10028,7087,2941,6236,3451,341,0,0
13067,13077,3147,1857,1290,1967,1178,2,0,0
13067,13085,958,401,557,506,452,0,0,0
13067,13089,61507,32862,28645,34173,26395,936,0,3
13067,13097,70340,22979,47361,31827,38072,46,261,134
13067,13113,3347,1857,1490,1978,1364,5,0,0
13067,13117,12970,6620,6350,7458,5493,19,0,0
13067,13121,376066,159782,216284,188913,181511,4873,366,403
13067,13135,23573,14608,8965,15140,8329,104,0,0
13067,13139,995,498,497,560,433,2,0,0
13067,13151,3683,2246,1437,2196,1467,20,0,0
13067,13217,866,470,396,465,393,8,0,0
13067,13223,137902,38064,99838,56147,81480,2,111,162
13067,13247,1336,810,526,782,537,17,0,0
13067,13255,372,206,166,210,161,1,0,0
13067,13297,499,275,224,298,200,1,0,0
13077,13015,27,8,19,10,17,0,0,0
13077,13045,9157,4089,5068,5173,3946,38,0,0
13077,13057,55,19,36,24,31,0,0,0
13077,13063,7659,4698,2961,4841,2777,41,0,0
13077,13067,3253,1998,1255,2091,1160,2,0,0
13077,13089,3416,1764,1652,1907,1469,40,0,0
13077,13097,5094,2610,2484,2812,2282,0,0,0
13077,13113,50440,14609,35831,21269,29119,0,1,51
13077,13117,8,1,7,2,6,0,0,0
13077,13121,33157,14635,18522,17000,15777,365,5,10
13077,13135,299,166,133,172,127,0,0,0
13077,13151,2096,1073,1023,1158,938,0,0,0
13077,13217,41,20,21,25,16,0,0,0
13077,13223,880,456,424,480,400,0,0,0
13077,13247,99,62,37,75,24,0,0,0
13077,13255,3758,1892,1866,2222,1535,0,0,1
13077,13297,30,3,27,5,25,0,0,0
13085,13013,55,34,21,41,14,0,0,0
13085,13015,84,40,44,53,31,0,0,0
13085,13057,2133,800,1333,1189,944,0,0,0
13085,13063,17,4,13,6,11,0,0,0
13085,13067,1020,421,599,529,491,0,0,0
13085,13089,628,303,325,365,263,0,0,0
13085,13097,7,1,6,2,5,0,0,0
13085,13113,1,1,0,0,1,0,0,0
13085,13117,34338,6201,28137,12741,21539,0,22,36
13085,13121,3691,1862,1829,2119,1570,2,0,0
13085,13135,2166,1016,1150,1162,1004,0,0,0
13085,13139,7558,2574,4984,3659,3899,0,0,0
13085,13151,2,0,2,0,2,0,0,0
13085,13223,9,1,8,1,8,0,0,0
13085,13247,1,1,0,1,0,0,0,0
13085,13255,2,0,2,0,2,0,0,0
13085,13297,43,12,31,14,29,0,0,0
13089,13013,3879,2296,1583,2510,1364,5,0,0
13089,13015,1254,654,600,721,530,3,0,0
13089,13045,1094,529,565,562,530,2,0,0
13089,13057,7421,4111,3310,4362,3017,42,0,0
13089,13063,56220,28422,27798,28309,25342,2469,52,48
13089,13067,60924,32683,28241,33825,26113,982,0,4
13089,13077,3089,1653,1436,1781,1267,41,0,0
13089,13085,561,255,306,312,249,0,0,0
13089,13097,5493,3100,2393,3126,2280,87,0,0
13089,13113,4808,2385,2423,2566,2204,38,0,0
13089,13117,11592,5860,5732,6703,4807,82,0,0
13089,13121,618848,269825,349023,303083,277153,32095,4428,2089
13089,13135,298510,106096,192414,138401,157735,1111,642,621
13089,13139,3659,2030,1629,2211,1442,6,0,0
13089,13151,46564,16160,30404,21545,24826,139,21,33
13089,13217,14980,7247,7733,8024,6844,112,0,0
13089,13223,3688,2122,1566,2267,1409,12,0,0
13089,13247,45342,14300,31042,19450,25641,152,33,66
13089,13255,1343,806,537,828,505,10,0,0
13089,13297,9144,4429,4715,5043,4084,17,0,0
13097,13013,5,4,1,4,1,0,0,0
13097,13015,842,468,374,515,327,0,0,0
13097,13045,28677,8725,19952,12614,15906,8,103,46
13097,13057,812,474,338,519,293,0,0,0
13097,13063,3689,2422,1267,2297,1325,67,0,0
13097,13067,69906,22670,47236,31479,37968,46,281,132
13097,13077,5005,2506,2499,2740,2265,0,0,0
13097,13085,4,1,3,4,0,0,0,0
13097,13089,5776,3276,2500,3287,2396,93,0,0
13097,13113,2413,1344,1069,1440,973,0,0,0
13097,13117,159,74,85,78,81,0,0,0
13097,13121,56287,23584,32703,27609,27713,935,1,29
13097,13135,1052,669,383,659,388,5,0,0
13097,13139,6,2,4,5,1,0,0,0
13097,13151,700,405,295,429,271,0,0,0
13097,13217,170,63,107,68,102,0,0,0
13097,13223,40897,10936,29961,16407,24421,18,10,41
13097,13247,232,130,102,148,84,0,0,0
13097,13255,116,57,59,67,49,0,0,0
13097,13297,35,10,25,11,24,0,0,0
13113,13013,5,2,3,4,1,0,0,0
13113,13015,12,4,8,6,6,0,0,0
13113,13045,1240,636,604,823,417,0,0,0
13113,13057,97,43,54,43,54,0,0,0
13113,13063,56774,15241,41533,23137,33445,38,58,96
13113,13067,3458,1981,1477,2098,1356,4,0,0
13113,13077,51002,15059,35943,21788,29161,0,4,49
13113,13085,1,1,0,1,0,0,0,0
13113,13089,4914,2431,2483,2625,2249,40,0,0
13113,13097,2453,1320,1133,1414,1039,0,0,0
13113,13117,44,13,31,16,28,0,0,0
13113,13121,46761,16302,30459,21148,25174,373,44,22
13113,13135,768,384,384,377,388,3,0,0
13113,13151,11300,4865,6435,5693,5607,0,0,0
13113,13217,445,249,196,235,210,0,0,0
13113,13223,545,301,244,311,234,0,0,0
13113,13247,411,256,155,240,171,0,0,0
13113,13255,8030,3448,4582,4242,3786,0,0,2
13113,13297,59,24,35,24,35,0,0,0
13117,13013,1561,850,711,912,649,0,0,0
13117,13015,925,474,451,535,390,0,0,0
13117,13045,9,6,3,5,4,0,0,0
13117,13057,39723,11030,28693,17312,22379,0,4,28
13117,13063,439,224,215,220,205,14,0,0
13117,13067,13408,7047,6361,7911,5484,13,0,0
13117,13077,9,3,6,5,4,0,0,0
13117,13085,34685,6404,28281,12994,21636,0,18,37
13117,13089,12139,6078,6061,6981,5084,74,0,0
13117,13097,148,73,75,75,73,0,0,0
13117,13113,34,10,24,16,18,0,0,0
13117,13121,175138,54815,120323,74206,99924,482,306,220
13117,13135,91031,29228,61803,38886,52108,5,0,32
13117,13139,32621,11431,21190,15529,17090,2,0,0
13117,13151,141,41,100,54,87,0,0,0
