"FIPS","trips_produced","work_trips","nonwork_trips","sov","hov","transit","walk","bike","trips_attracted","balance"
13013,430948,84168,346780,157702,257515,36,13985,1710,431007,-59
13015,495063,132262,362801,206503,271383,36,14988,2153,495183,-120
13045,475908,135244,340664,205694,252125,1213,14779,2097,475812,96
13057,1366939,289985,1076954,524812,806331,663,30543,4590,1366789,150
13063,1279575,379247,900328,521545,689577,16177,46637,5639,1279648,-73
13067,3919720,1152057,2767663,1692921,2080225,13606,117366,15602,3919640,80
13077,716589,164666,551923,284904,409857,486,18465,2877,716607,-18
13085,129162,27543,101619,52102,73009,2,3622,427,129170,-8
13089,3564276,1101856,2462420,1505458,1859678,56090,125884,17166,3564518,-242
13097,681231,164318,516913,266682,392369,1455,18199,2526,681393,-162
13113,584804,148412,436392,237921,331945,458,12759,1721,584744,60
13117,1601598,316527,1285071,588986,978387,598,29161,4466,1601388,210
13121,6454540,2471113,3983427,2966681,2924451,198526,333862,31020,6454327,213
13135,4766241,1203672,3562569,1876561,2730273,7738,133170,18499,4766125,116
13139,984855,256506,728349,390037,559007,1263,30782,3766,984828,27
13151,1160452,249324,911128,441631,683853,1379,29307,4282,1160577,-125
13217,509575,109805,399770,194521,297401,394,15161,2098,509496,79
13223,786467,149958,636509,289386,474284,293,19762,2742,786623,-156
13247,464789,115029,349760,180684,269290,801,12279,1735,464896,-107
13255,275336,82259,193077,123905,138444,84,11503,1400,275232,104
13297,426681,90740,335941,161247,251454,49,12154,1777,426746,-65
