ZONE,PER,QUANTITY
1,PER01,0
1,PER02,0
1,PER03,1
1,PER04,4
1,PER05,4
1,PER06,6
1,PER07,12
1,PER08,17
1,PER09,20
1,PER10,39
1,PER11,48
1,PER12,51
1,PER13,63
1,PER14,58
1,PER15,67
1,PER16,87
1,PER17,91
1,PER18,106
1,PER19,126
1,PER20,125
1,PER21,120
1,PER22,108
1,PER23,95
1,PER24,95
1,PER25,94
1,PER26,87
1,PER27,91
1,PER28,82
1,PER29,79
1,PER30,85
1,PER31,80
1,PER32,99
1,PER33,101
1,PER34,77
1,PER35,56
1,PER36,35
1,PER37,33
1,PER38,33
1,PER39,22
1,PER40,18
1,PER41,12
1,PER42,9
1,PER43,9
1,PER44,7
1,PER45,0
1,PER46,1
1,PER47,0
1,PER48,0
2,PER01,0
2,PER02,1
2,PER03,5
2,PER04,12
2,PER05,24
2,PER06,33
2,PER07,49
2,PER08,65
2,PER09,107
2,PER10,150
2,PER11,165
2,PER12,161
2,PER13,175
2,PER14,176
2,PER15,199
2,PER16,191
2,PER17,215
2,PER18,245
2,PER19,245
2,PER20,252
2,PER21,235
2,PER22,225
2,PER23,229
2,PER24,223
2,PER25,219
2,PER26,223
2,PER27,223
2,PER28,209
2,PER29,207
2,PER30,216
2,PER31,211
2,PER32,195
2,PER33,180
2,PER34,173
2,PER35,135
2,PER36,103
2,PER37,71
2,PER38,47
2,PER39,26
2,PER40,32
2,PER41,24
2,PER42,10
2,PER43,12
2,PER44,9
2,PER45,8
2,PER46,3
2,PER47,1
2,PER48,2
3,PER01,8
3,PER02,17
3,PER03,25
3,PER04,40
3,PER05,57
3,PER06,105
3,PER07,199
3,PER08,441
3,PER09,935
3,PER10,1405
3,PER11,1692
3,PER12,1764
3,PER13,1855
3,PER14,1957
3,PER15,2045
3,PER16,2089
3,PER17,2140
3,PER18,2179
3,PER19,2204
3,PER20,2172
3,PER21,2156
3,PER22,2156
3,PER23,2170
3,PER24,2187
3,PER25,2003
3,PER26,1887
3,PER27,1691
3,PER28,1492
3,PER29,1375
3,PER30,1407
3,PER31,1285
3,PER32,1266
3,PER33,1234
3,PER34,1092
3,PER35,925
3,PER36,727
3,PER37,504
3,PER38,364
3,PER39,276
3,PER40,199
3,PER41,132
3,PER42,91
3,PER43,80
3,PER44,69
3,PER45,42
3,PER46,26
3,PER47,11
3,PER48,6
4,PER01,5
4,PER02,3
4,PER03,4
4,PER04,6
4,PER05,13
4,PER06,21
4,PER07,33
4,PER08,56
4,PER09,92
4,PER10,132
4,PER11,171
4,PER12,182
4,PER13,205
4,PER14,215
4,PER15,203
4,PER16,233
4,PER17,247
4,PER18,259
4,PER19,289
4,PER20,275
4,PER21,260
4,PER22,250
4,PER23,257
4,PER24,266
4,PER25,242
4,PER26,232
4,PER27,230
4,PER28,214
4,PER29,229
4,PER30,238
4,PER31,231
4,PER32,209
4,PER33,211
4,PER34,212
4,PER35,177
4,PER36,121
4,PER37,92
4,PER38,82
4,PER39,71
4,PER40,32
4,PER41,20
4,PER42,10
4,PER43,3
4,PER44,2
4,PER45,2
4,PER46,5
4,PER47,7
4,PER48,4
5,PER01,4
5,PER02,5
5,PER03,6
5,PER04,10
5,PER05,23
5,PER06,36
5,PER07,58
5,PER08,93
5,PER09,148
5,PER10,203
5,PER11,250
5,PER12,265
5,PER13,293
5,PER14,302
5,PER15,299
5,PER16,315
5,PER17,348
5,PER18,413
5,PER19,424
5,PER20,440
5,PER21,415
5,PER22,379
5,PER23,363
5,PER24,338
5,PER25,331
5,PER26,313
5,PER27,323
5,PER28,339
5,PER29,355
5,PER30,357
5,PER31,320
5,PER32,360
5,PER33,340
5,PER34,291
5,PER35,247
5,PER36,221
5,PER37,156
5,PER38,119
5,PER39,94
5,PER40,69
5,PER41,44
5,PER42,32
5,PER43,16
5,PER44,12
5,PER45,9
5,PER46,6
5,PER47,2
5,PER48,2
6,PER01,2
6,PER02,4
6,PER03,5
6,PER04,10
6,PER05,18
6,PER06,22
6,PER07,36
6,PER08,63
6,PER09,82
6,PER10,109
6,PER11,145
6,PER12,168
6,PER13,193
6,PER14,204
6,PER15,217
6,PER16,236
6,PER17,256
6,PER18,303
6,PER19,332
6,PER20,316
6,PER21,276
6,PER22,261
6,PER23,257
6,PER24,231
6,PER25,216
6,PER26,207
6,PER27,209
6,PER28,206
6,PER29,198
6,PER30,185
6,PER31,162
6,PER32,172
6,PER33,169
6,PER34,158
6,PER35,125
6,PER36,104
6,PER37,71
6,PER38,55
6,PER39,40
6,PER40,35
6,PER41,13
6,PER42,11
6,PER43,4
6,PER44,2
6,PER45,2
6,PER46,1
6,PER47,1
7,PER01,4
7,PER02,11
7,PER03,19
7,PER04,38
7,PER05,63
7,PER06,99
7,PER07,143
7,PER08,199
7,PER09,290
7,PER10,369
7,PER11,469
7,PER12,539
7,PER13,587
7,PER14,656
7,PER15,736
7,PER16,773
7,PER17,797
7,PER18,878
7,PER19,903
7,PER20,924
7,PER21,921
7,PER22,885
7,PER23,884
7,PER24,866
7,PER25,876
7,PER26,818
7,PER27,817
7,PER28,802
7,PER29,786
7,PER30,812
7,PER31,786
7,PER32,739
7,PER33,714
7,PER34,636
7,PER35,544
7,PER36,415
7,PER37,320
7,PER38,216
7,PER39,198
7,PER40,141
7,PER41,89
7,PER42,66
7,PER43,54
7,PER44,25
7,PER45,21
7,PER46,11
7,PER47,8
7,PER48,2
8,PER01,0
8,PER02,3
8,PER03,3
8,PER04,5
8,PER05,6
8,PER06,11
8,PER07,31
8,PER08,37
8,PER09,52
8,PER10,75
8,PER11,73
8,PER12,84
8,PER13,94
8,PER14,102
8,PER15,109
8,PER16,117
8,PER17,126
8,PER18,141
8,PER19,168
8,PER20,161
8,PER21,158
8,PER22,132
8,PER23,122
