ZONE,COUNTY,TRIP MODE,QUANTITY
1,FULTON,BIKE,2
1,FULTON,DRIVEALONEFREE,660
1,FULTON,DRIVEALONEPAY,9
1,FULTON,PNR_PRMTRN,2
1,FULTON,SCHOOL_BUS,31
1,FULTON,SHARED2FREE,347
1,FULTON,SHARED3FREE,230
1,FULTON,TNC,13
1,FULTON,TOTAL,1304
1,FULTON,WALK,10
2,FULTON,BIKE,6
2,FULTON,DRIVEALONEFREE,1680
2,FULTON,DRIVEALONEPAY,11
2,FULTON,PNR_PRMTRN,1
2,FULTON,SCHOOL_BUS,157
2,FULTON,SHARED2FREE,879
2,FULTON,SHARED2PAY,1
2,FULTON,SHARED3FREE,846
2,FULTON,SHARED3PAY,2
2,FULTON,TNC,30
2,FULTON,TOTAL,3652
2,FULTON,WALK,39
3,FULTON,BIKE,43
3,FULTON,DRIVEALONEFREE,5890
3,FULTON,DRIVEALONEPAY,25
3,FULTON,KNR_PRMTRN,1
3,FULTON,PNR_PRMTRN,8
3,FULTON,SCHOOL_BUS,799
3,FULTON,SHARED2FREE,4011
3,FULTON,SHARED3FREE,3201
3,FULTON,SHARED3PAY,1
3,FULTON,TNC,139
3,FULTON,TOTAL,14524
3,FULTON,WALK,406
4,FULTON,BIKE,10
4,FULTON,DRIVEALONEFREE,1982
4,FULTON,DRIVEALONEPAY,4
4,FULTON,KNR_ALLTRN,2
4,FULTON,PNR_PRMTRN,3
4,FULTON,SCHOOL_BUS,221
4,FULTON,SHARED2FREE,1252
4,FULTON,SHARED3FREE,1094
4,FULTON,TNC,47
4,FULTON,TOTAL,4694
4,FULTON,WALK,79
5,FULTON,BIKE,12
5,FULTON,DRIVEALONEFREE,2194
5,FULTON,PNR_PRMTRN,3
5,FULTON,SCHOOL_BUS,188
5,FULTON,SHARED2FREE,1232
5,FULTON,SHARED3FREE,988
5,FULTON,TNC,46
5,FULTON,TOTAL,4807
5,FULTON,WALK,144
6,FULTON,BIKE,3
6,FULTON,DRIVEALONEFREE,649
6,FULTON,DRIVEALONEPAY,1
6,FULTON,SHARED2FREE,295
6,FULTON,SHARED3FREE,210
6,FULTON,TNC,11
6,FULTON,TOTAL,1210
6,FULTON,WALK,41
7,FULTON,BIKE,32
7,FULTON,DRIVEALONEFREE,3352
7,FULTON,DRIVEALONEPAY,2
7,FULTON,PNR_ALLTRN,1
7,FULTON,PNR_PRMTRN,1
7,FULTON,SCHOOL_BUS,201
7,FULTON,SHARED2FREE,2068
7,FULTON,SHARED3FREE,1697
7,FULTON,TNC,77
7,FULTON,TOTAL,7613
7,FULTON,WALK,182
