AXIS,CHART,QUANTITY
Accessible Employment,AEROTROPOLIS,618823
Jobs Housing Balance,AEROTROPOLIS,0.028304821150855364
Transit Mode Share,AEROTROPOLIS,0.03588516746411483
Zero Car Transit Trips Per HH,AEROTROPOLIS,0.3626373626373626
Accessible Employment,BUCKHEAD,932858
Accessible Employment,CITY CENTER,1115100
Accessible Employment,CUMBERLAND,982815
Accessible Employment,DORAVILLE ASSEMBLY,775828
Accessible Employment,EMORY,885637
Accessible Employment,FT MCPHERSON,725336
Accessible Employment,FULTON INDUSTRIAL,565358
Accessible Employment,GWINNETT,435489
Accessible Employment,HARTSFIELD,315770
Accessible Employment,LOCKHEED/DOBBINS,454864
Accessible Employment,MIDTOWN,1158566
Accessible Employment,NEWNAN,86336
Accessible Employment,NORTH POINT,410752
Accessible Employment,PEACHTREE CORNERS,717746
Accessible Employment,PERIMETER,854753
Accessible Employment,STOCKBRIDGE,204332
Accessible Employment,STONECREST,170425
Accessible Employment,TOWN CENTER,405856
Accessible Employment,TRIBUTARY,170782
Accessible Employment,WINDWARD,491143
Jobs Housing Balance,WINDWARD,0.45397727272727273
Transit Mode Share,WINDWARD,0.001789762558167283
