Person Group,Day Pattern,Count
Child too young for school,Home,128242
Child too young for school,Mandatory,197380
Child too young for school,Non-mandatory,184837
Full-time worker,Home,399224
Full-time worker,Mandatory,2031961
Full-time worker,Non-mandatory,355648
Non-worker,Home,422622
Non-worker,Non-mandatory,667200
Part-time worker,Home,78711
Part-time worker,Mandatory,312378
Part-time worker,Non-mandatory,181741
Retired,Home,703771
Retired,Non-mandatory,696379
Student of driving age,Home,26247
Student of driving age,Mandatory,216447
Student of driving age,Non-mandatory,20587
Student of non-driving age,Home,73888
Student of non-driving age,Mandatory,765439
Student of non-driving age,Non-mandatory,73031
University student,Home,52461
University student,Mandatory,152822
University student,Non-mandatory,59524
