ZONE,PER,QUANTITY
1,PER01,0
1,PER02,0
1,PER03,3
1,PER04,4
1,PER05,5
1,PER06,5
1,PER07,12
1,PER08,32
1,PER09,43
1,PER10,49
1,PER11,55
1,PER12,68
1,PER13,75
1,PER14,91
1,PER15,104
1,PER16,116
1,PER17,120
1,PER18,144
1,PER19,148
1,PER20,166
1,PER21,155
1,PER22,139
1,PER23,115
1,PER24,102
1,PER25,98
1,PER26,94
1,PER27,96
1,PER28,95
1,PER29,98
1,PER30,108
1,PER31,104
1,PER32,108
1,PER33,89
1,PER34,77
1,PER35,54
1,PER36,56
1,PER37,46
1,PER38,36
1,PER39,27
1,PER40,20
1,PER41,17
1,PER42,13
1,PER43,7
1,PER44,2
1,PER45,3
1,PER46,2
1,PER47,1
1,PER48,1
2,PER01,1
2,PER02,1
2,PER03,3
2,PER04,7
2,PER05,12
2,PER06,23
2,PER07,45
2,PER08,66
2,PER09,99
2,PER10,146
2,PER11,177
2,PER12,187
2,PER13,191
2,PER14,187
2,PER15,194
2,PER16,197
2,PER17,211
2,PER18,246
2,PER19,256
2,PER20,258
2,PER21,258
2,PER22,244
2,PER23,248
2,PER24,247
2,PER25,253
2,PER26,255
2,PER27,238
2,PER28,227
2,PER29,222
2,PER30,223
2,PER31,207
2,PER32,198
2,PER33,185
2,PER34,164
2,PER35,127
2,PER36,103
2,PER37,88
2,PER38,65
2,PER39,43
2,PER40,26
2,PER41,16
2,PER42,10
2,PER43,10
2,PER44,4
2,PER45,1
2,PER46,1
2,PER47,1
2,PER48,1
3,PER01,8
3,PER02,15
3,PER03,28
3,PER04,41
3,PER05,78
3,PER06,140
3,PER07,235
3,PER08,436
3,PER09,918
3,PER10,1457
3,PER11,1725
3,PER12,1876
3,PER13,1973
3,PER14,2093
3,PER15,2212
3,PER16,2267
3,PER17,2309
3,PER18,2335
3,PER19,2381
3,PER20,2400
3,PER21,2351
3,PER22,2292
3,PER23,2284
3,PER24,2282
3,PER25,2170
3,PER26,2042
3,PER27,1860
3,PER28,1641
3,PER29,1535
3,PER30,1442
3,PER31,1319
3,PER32,1281
3,PER33,1229
3,PER34,1130
3,PER35,922
3,PER36,717
3,PER37,539
3,PER38,386
3,PER39,317
3,PER40,207
3,PER41,142
3,PER42,97
3,PER43,55
3,PER44,40
3,PER45,33
3,PER46,33
3,PER47,19
3,PER48,10
4,PER01,2
4,PER02,2
4,PER03,4
4,PER04,6
4,PER05,22
4,PER06,27
4,PER07,44
4,PER08,66
4,PER09,113
4,PER10,176
4,PER11,207
4,PER12,233
4,PER13,247
4,PER14,250
4,PER15,265
4,PER16,269
4,PER17,302
4,PER18,327
4,PER19,346
4,PER20,347
4,PER21,342
4,PER22,342
4,PER23,336
4,PER24,333
4,PER25,336
4,PER26,330
4,PER27,313
4,PER28,298
4,PER29,295
4,PER30,287
4,PER31,293
4,PER32,279
4,PER33,269
4,PER34,248
4,PER35,233
4,PER36,181
4,PER37,126
4,PER38,98
4,PER39,59
4,PER40,30
4,PER41,20
4,PER42,19
4,PER43,14
4,PER44,10
4,PER45,6
4,PER46,5
4,PER47,4
4,PER48,2
5,PER01,2
5,PER02,5
5,PER03,7
5,PER04,13
5,PER05,26
5,PER06,31
5,PER07,48
5,PER08,94
5,PER09,149
5,PER10,185
5,PER11,219
5,PER12,277
5,PER13,291
5,PER14,330
5,PER15,367
5,PER16,383
5,PER17,412
5,PER18,434
5,PER19,482
5,PER20,498
5,PER21,495
5,PER22,438
5,PER23,403
5,PER24,387
5,PER25,373
5,PER26,347
5,PER27,350
5,PER28,354
5,PER29,383
5,PER30,372
5,PER31,377
5,PER32,382
5,PER33,379
5,PER34,351
5,PER35,283
5,PER36,216
5,PER37,177
5,PER38,115
5,PER39,71
5,PER40,44
5,PER41,43
5,PER42,29
5,PER43,24
5,PER44,22
5,PER45,15
5,PER46,15
5,PER47,7
5,PER48,3
6,PER01,1
6,PER02,2
6,PER03,8
6,PER04,12
6,PER05,27
6,PER06,46
6,PER07,61
6,PER08,98
6,PER09,133
6,PER10,170
6,PER11,205
6,PER12,226
6,PER13,247
6,PER14,274
6,PER15,294
6,PER16,320
6,PER17,327
6,PER18,364
6,PER19,385
6,PER20,397
6,PER21,351
6,PER22,323
6,PER23,301
6,PER24,295
6,PER25,282
6,PER26,282
6,PER27,296
6,PER28,272
6,PER29,265
6,PER30,264
6,PER31,240
6,PER32,201
6,PER33,187
6,PER34,173
6,PER35,145
6,PER36,123
6,PER37,99
6,PER38,74
6,PER39,51
6,PER40,40
6,PER41,28
6,PER42,17
6,PER43,15
6,PER44,14
6,PER45,12
6,PER46,7
6,PER47,6
6,PER48,5
7,PER01,1
7,PER02,9
7,PER03,14
7,PER04,28
7,PER05,56
7,PER06,80
7,PER07,122
7,PER08,193
7,PER09,281
7,PER10,401
7,PER11,521
7,PER12,588
7,PER13,646
7,PER14,705
7,PER15,811
7,PER16,860
7,PER17,882
7,PER18,916
7,PER19,959
7,PER20,930
7,PER21,901
7,PER22,887
7,PER23,847
7,PER24,836
7,PER25,814
7,PER26,813
7,PER27,816
7,PER28,764
7,PER29,754
7,PER30,737
7,PER31,705
7,PER32,695
7,PER33,707
7,PER34,680
7,PER35,585
7,PER36,493
7,PER37,356
7,PER38,287
7,PER39,191
7,PER40,122
7,PER41,79
7,PER42,77
7,PER43,48
7,PER44,35
7,PER45,26
7,PER46,16
7,PER47,12
7,PER48,8
8,PER01,0
8,PER02,2
8,PER03,1
8,PER04,6
8,PER05,8
8,PER06,15
8,PER07,26
8,PER08,36
8,PER09,59
8,PER10,74
8,PER11,80
8,PER12,84
8,PER13,87
8,PER14,94
8,PER15,96
8,PER16,102
8,PER17,117
8,PER18,145
8,PER19,176
8,PER20,161
8,PER21,151
8,PER22,128
