ZONE,COUNTY,TRIP MODE,QUANTITY
1,Fulton,BIKE,4
1,Fulton,DRIVEALONEFREE,786
1,Fulton,DRIVEALONEPAY,5
1,Fulton,PNR_PRMTRN,1
1,Fulton,SCHOOL_BUS,32
1,Fulton,SHARED2FREE,361
1,Fulton,SHARED3FREE,237
1,Fulton,TNC,9
1,Fulton,TOTAL,1452
1,Fulton,WALK,17
2,Fulton,BIKE,3
2,Fulton,DRIVEALONEFREE,1700
2,Fulton,DRIVEALONEPAY,16
2,Fulton,PNR_PRMTRN,1
2,Fulton,SCHOOL_BUS,136
2,Fulton,SHARED2FREE,926
2,Fulton,SHARED2PAY,4
2,Fulton,SHARED3FREE,700
2,Fulton,SHARED3PAY,1
2,Fulton,TNC,29
2,Fulton,TOTAL,3573
2,Fulton,WALK,57
3,Fulton,BIKE,42
3,Fulton,DRIVEALONEFREE,6282
3,Fulton,DRIVEALONEPAY,35
3,Fulton,PNR_PRMTRN,4
3,Fulton,SCHOOL_BUS,786
3,Fulton,SHARED2FREE,4094
3,Fulton,SHARED2PAY,1
3,Fulton,SHARED3FREE,3136
3,Fulton,SHARED3PAY,1
3,Fulton,TNC,152
3,Fulton,TOTAL,14917
3,Fulton,WALK,384
4,Fulton,BIKE,6
4,Fulton,DRIVEALONEFREE,2228
4,Fulton,DRIVEALONEPAY,3
4,Fulton,KNR_PRMTRN,1
4,Fulton,PNR_PRMTRN,2
4,Fulton,SCHOOL_BUS,185
4,Fulton,SHARED2FREE,1357
4,Fulton,SHARED2PAY,1
4,Fulton,SHARED3FREE,960
4,Fulton,TNC,35
4,Fulton,TOTAL,4863
4,Fulton,WALK,85
5,Fulton,BIKE,16
5,Fulton,DRIVEALONEFREE,2352
5,Fulton,DRIVEALONEPAY,1
5,Fulton,KNR_ALLTRN,2
5,Fulton,PNR_PRMTRN,6
5,Fulton,SCHOOL_BUS,175
5,Fulton,SHARED2FREE,1342
5,Fulton,SHARED3FREE,899
5,Fulton,TNC,57
5,Fulton,TOTAL,5023
5,Fulton,WALK,173
6,Fulton,BIKE,4
6,Fulton,DRIVEALONEFREE,840
6,Fulton,SHARED2FREE,312
6,Fulton,SHARED3FREE,249
6,Fulton,TNC,15
6,Fulton,TOTAL,1466
6,Fulton,WALK,46
7,Fulton,BIKE,28
7,Fulton,DRIVEALONEFREE,3282
7,Fulton,DRIVEALONEPAY,2
7,Fulton,PNR_PRMTRN,4
7,Fulton,SCHOOL_BUS,165
7,Fulton,SHARED2FREE,2006
7,Fulton,SHARED3FREE,1418
7,Fulton,TNC,69
7,Fulton,TOTAL,7194
7,Fulton,WALK,220
8,Fulton,BIKE,6
8,Fulton,DRIVEALONEFREE,1239
8,Fulton,PNR_ALLTRN,1
8,Fulton,PNR_PRMTRN,3
8,Fulton,SCHOOL_BUS,113
8,Fulton,SHARED2FREE,764
8,Fulton,SHARED3FREE,617
8,Fulton,TNC,20
8,Fulton,TOTAL,2792
8,Fulton,WALK,28
8,Fulton,WALK_ALLTRN,1
9,Fulton,BIKE,6
9,Fulton,DRIVEALONEFREE,823
9,Fulton,KNR_ALLTRN,3
9,Fulton,PNR_PRMTRN,1
9,Fulton,SCHOOL_BUS,77
9,Fulton,SHARED2FREE,446
9,Fulton,SHARED3FREE,372
9,Fulton,TNC,21
9,Fulton,TOTAL,1786
9,Fulton,WALK,37
10,Fulton,BIKE,8
10,Fulton,DRIVEALONEFREE,1617
10,Fulton,SCHOOL_BUS,1553
10,Fulton,SHARED2FREE,2043
10,Fulton,SHARED3FREE,1977
10,Fulton,TNC,73
10,Fulton,TOTAL,7387
10,Fulton,WALK,116
11,Fulton,BIKE,2
11,Fulton,DRIVEALONEFREE,370
11,Fulton,PNR_PRMTRN,2
11,Fulton,SCHOOL_BUS,14
11,Fulton,SHARED2FREE,202
11,Fulton,SHARED3FREE,133
11,Fulton,TNC,5
11,Fulton,TOTAL,732
11,Fulton,WALK,4
12,Fulton,BIKE,2
12,Fulton,DRIVEALONEFREE,206
12,Fulton,PNR_PRMTRN,1
12,Fulton,SCHOOL_BUS,14
12,Fulton,SHARED2FREE,96
12,Fulton,SHARED3FREE,76
12,Fulton,TNC,2
12,Fulton,TOTAL,401
12,Fulton,WALK,4
13,Fulton,BIKE,14
13,Fulton,DRIVEALONEFREE,2691
13,Fulton,DRIVEALONEPAY,1
13,Fulton,KNR_ALLTRN,3
13,Fulton,PNR_PRMTRN,4
13,Fulton,SCHOOL_BUS,312
13,Fulton,SHARED2FREE,1768
13,Fulton,SHARED3FREE,1425
13,Fulton,TNC,55
13,Fulton,TOTAL,6390
13,Fulton,WALK,117
14,Fulton,BIKE,11
14,Fulton,DRIVEALONEFREE,2474
14,Fulton,SCHOOL_BUS,3
14,Fulton,SHARED2FREE,1251
14,Fulton,SHARED3FREE,827
14,Fulton,TNC,48
14,Fulton,TOTAL,4746
14,Fulton,WALK,132
15,Fulton,BIKE,2
15,Fulton,DRIVEALONEFREE,311
15,Fulton,PNR_PRMTRN,1
15,Fulton,SCHOOL_BUS,40
15,Fulton,SHARED2FREE,175
15,Fulton,SHARED3FREE,108
15,Fulton,TNC,3
15,Fulton,TOTAL,647
15,Fulton,WALK,7
16,Fulton,BIKE,1
16,Fulton,DRIVEALONEFREE,793
16,Fulton,DRIVEALONEPAY,3
16,Fulton,PNR_PRMTRN,1
16,Fulton,SCHOOL_BUS,51
16,Fulton,SHARED2FREE,424
16,Fulton,SHARED3FREE,289
16,Fulton,TNC,13
16,Fulton,TOTAL,1594
16,Fulton,WALK,19
17,Fulton,BIKE,4
17,Fulton,DRIVEALONEFREE,929
17,Fulton,DRIVEALONEPAY,13
17,Fulton,PNR_PRMTRN,2
17,Fulton,SCHOOL_BUS,88
17,Fulton,SHARED2FREE,547
17,Fulton,SHARED3FREE,383
17,Fulton,SHARED3PAY,1
17,Fulton,TNC,8
17,Fulton,TOTAL,1985
17,Fulton,WALK,10
18,Fulton,BIKE,4
18,Fulton,DRIVEALONEFREE,799
18,Fulton,SCHOOL_BUS,14
18,Fulton,SHARED2FREE,431
18,Fulton,SHARED3FREE,258
18,Fulton,TNC,18
18,Fulton,TOTAL,1533
18,Fulton,WALK,9
19,Fulton,DRIVEALONEFREE,587
19,Fulton,KNR_ALLTRN,1
19,Fulton,KNR_PRMTRN,1
19,Fulton,SCHOOL_BUS,68
19,Fulton,SHARED2FREE,338
19,Fulton,SHARED3FREE,298
19,Fulton,TNC,9
19,Fulton,TOTAL,1316
19,Fulton,WALK,14
20,Fulton,BIKE,2
20,Fulton,DRIVEALONEFREE,453
20,Fulton,SCHOOL_BUS,125
20,Fulton,SHARED2FREE,324
20,Fulton,SHARED3FREE,257
20,Fulton,TNC,8
20,Fulton,TOTAL,1182
20,Fulton,WALK,13
21,Fulton,BIKE,1
21,Fulton,DRIVEALONEFREE,447
21,Fulton,SCHOOL_BUS,45
21,Fulton,SHARED2FREE,321
21,Fulton,SHARED3FREE,228
21,Fulton,TNC,6
21,Fulton,TOTAL,1051
21,Fulton,WALK,3
22,Fulton,BIKE,1
22,Fulton,DRIVEALONEFREE,542
22,Fulton,SCHOOL_BUS,33
22,Fulton,SHARED2FREE,291
22,Fulton,SHARED3FREE,203
22,Fulton,SHARED3PAY,1
22,Fulton,TNC,8
22,Fulton,TOTAL,1091
22,Fulton,WALK,12
23,Fulton,BIKE,1
23,Fulton,DRIVEALONEFREE,137
23,Fulton,SCHOOL_BUS,7
23,Fulton,SHARED2FREE,80
23,Fulton,SHARED3FREE,74
23,Fulton,TNC,2
23,Fulton,TOTAL,301
24,Fulton,BIKE,3
24,Fulton,DRIVEALONEFREE,278
24,Fulton,SCHOOL_BUS,31
24,Fulton,SHARED2FREE,211
24,Fulton,SHARED3FREE,162
24,Fulton,TNC,9
24,Fulton,TOTAL,696
24,Fulton,WALK,2
25,Fulton,BIKE,6
